Country,Year,Secure Internet Servers by Million Population
Argentina,2007,814.8322418
Argentina,2008,999.049376
Argentina,2009,1222.44914
Argentina,2010,1784.556868
Argentina,2011,2027.797672
Argentina,2012,1721.403456
Argentina,2013,1252.264287
Australia,2007,814.8322418
Australia,2008,999.049376
Australia,2009,1222.44914
Australia,2010,1784.556868
Australia,2011,2027.797672
Australia,2012,1721.403456
Australia,2013,1252.264287
Austria,2007,400.0824982
Austria,2008,480.9926345
Austria,2009,553.7176004
Austria,2010,856.0424355
Austria,2011,994.7435145
Austria,2012,1139.0285
Austria,2013,1079.32865
Bahrain,2007,40.68375837
Bahrain,2008,53.76161027
Bahrain,2009,62.94380629
Bahrain,2010,98.28104063
Bahrain,2011,120.6716771
Bahrain,2012,135.829665
Bahrain,2013,141.8736784
Bangladesh,2007,0.040967637
Bangladesh,2008,0.101371922
Bangladesh,2009,0.193975911
Bangladesh,2010,0.31099985
Bangladesh,2011,0.628015657
Bangladesh,2012,0.730467896
Bangladesh,2013,0.766308178
Belgium,2007,192.0814629
Belgium,2008,250.0473157
Belgium,2009,310.1006966
Belgium,2010,487.9915079
Belgium,2011,597.4070362
Belgium,2012,674.4099654
Belgium,2013,737.4629951
Benin,2007,0.114843658
Benin,2008,0.222883617
Benin,2009,0.108215938
Benin,2010,0.105154705
Benin,2011,0.715761424
Benin,2012,0.696468764
Benin,2013,1.065532785
Botswana,2007,1.566426673
Botswana,2008,1.551414657
Botswana,2009,3.58658923
Botswana,2010,8.632329292
Botswana,2011,9.060246106
Botswana,2012,11.47756137
Botswana,2013,10.39015528
Brazil,2007,20.3003231
Brazil,2008,23.93547534
Brazil,2009,25.97537883
Brazil,2010,40.67923639
Brazil,2011,54.11934267
Brazil,2012,54.28478862
Brazil,2013,57.4460442
Burkina Faso,2007,0.14049803
Burkina Faso,2008,0.136428942
Burkina Faso,2009,0.19874174
Burkina Faso,2010,0.257395553
Burkina Faso,2011,0.62518314
Burkina Faso,2012,0.60752821
Burkina Faso,2013,0.826698146
Cameroon,2007,0.366536745
Cameroon,2008,0.357233514
Cameroon,2009,0.497414811
Cameroon,2010,0.533350323
Cameroon,2011,0.992613443
Cameroon,2012,1.198177057
Cameroon,2013,1.482882214
Canada,2007,814.5542036
Canada,2008,908.3861578
Canada,2009,987.1665376
Canada,2010,1242.68959
Canada,2011,1374.204418
Canada,2012,1237.918334
Canada,2013,1035.260404
Chile,2007,28.91613912
Chile,2008,34.99456723
Chile,2009,39.07783605
Chile,2010,52.70903447
Chile,2011,67.3081684
